10000 100000
8186 6424 7
2637 217 5
1824 2461 4
8021 6839 1
8897 9714 8
3845 1950 9
4423 2670 6
3833 5324 8
7004 5626 10
2841 1092 9
8310 1541 3
4514 7474 8
143 7681 8
9336 8952 1
9887 9582 3
8526 9141 7
3554 2077 5
8376 9603 3
8390 4724 8
852 2214 1
6334 3225 3
4054 7032 9
1334 496 9
3504 4125 10
8593 898 8
7876 8533 1
8083 1769 9
5404 9014 4
6973 5958 1
9537 3236 7
9189 4995 1
8401 7159 8
3378 9986 5
1361 9827 6
906 6891 6
4905 6917 6
3779 8543 4
1979 5409 2
5750 5066 3
8908 4770 3
9465 7721 9
8684 485 5
2319 6118 1
5378 4073 9
2822 9557 1
53 1404 4
9795 9604 8
3635 6075 8
860 6589 2
7639 6563 7
7272 4152 8
8237 3495 2
3565 8099 6
7084 1798 8
6508 2561 8
6952 7116 5
5790 6021 6
1905 6859 7
5990 2768 3
6651 6813 8
3948 7264 3
8847 4901 10
8608 7390 6
3421 4518 8
459 9125 9
7892 9919 10
1022 7036 7
9019 4915 2
8294 7262 1
6767 5124 10
5924 4702 9
7581 4790 4
2287 3880 4
4432 7973 7
9539 666 10
3946 6881 2
378 3883 3
1399 4901 8
6661 2606 10
7071 5238 4
6648 6919 10
7951 4398 10
5629 9957 7
9695 2643 7
7958 9845 9
2358 7744 1
539 9351 10
6732 1525 9
9790 1982 10
3157 5954 10
6082 5436 3
5999 7934 4
9842 6417 7
8789 1433 9
5321 3159 8
1585 2302 8
5816 2149 3
7558 6567 1
3446 2483 9
7179 2227 4
6371 4144 3
8025 5230 7
5693 3008 5
9069 1849 8
1748 5735 7
7530 3706 5
5213 5945 1
4588 4263 10
6066 4286 9
3911 3369 5
781 5711 3
1512 8439 7
5754 3933 10
6266 7046 7
5711 7180 4
513 8049 1
8999 5943 10
3153 2916 9
420 5062 8
827 8810 2
9455 3879 7
4214 9939 4
7885 9745 6
2212 5811 4
4308 9328 2
9984 6556 2
4450 112 6
7849 7694 3
8925 2364 3
3946 2085 1
4376 3894 3
3012 5891 8
5057 3046 8
978 5679 5
7482 4757 3
1171 3829 1
4358 2475 5
3553 6158 7
3659 9566 8
1869 212 9
5784 677 8
8047 390 3
6109 955 7
7528 6211 7
254 3137 7
2564 1032 3
2109 7447 4
6837 5856 9
3853 8572 1
1524 676 8
8684 4474 10
5288 3895 6
1661 5299 7
2536 8254 7
2147 2193 1
8257 8716 3
7713 3513 4
3855 1315 6
3151 8041 9
8595 6782 6
2718 6868 7
7997 4773 2
8998 1020 8
3362 2063 5
5114 6905 9
7143 2364 10
3657 5657 1
1455 3985 9
3363 8685 2
2061 6788 7
8788 7457 1
5730 6846 9
5588 5472 8
2666 297 10
3449 8152 10
5487 4239 3
544 7615 7
3904 2353 4
1371 7055 1
642 3600 4
5301 8782 8
6977 4955 1
3774 8500 2
3910 654 4
3248 2798 2
8010 6200 3
5934 7925 4
855 8783 10
7446 3418 3
4690 908 1
1316 6021 5
7494 4728 5
7406 2605 2
3639 2493 9
4252 2466 8
9804 1972 5
4781 9998 6
9668 2495 9
1525 8223 10
3657 7267 7
8066 3115 10
478 8516 5
2016 4188 3
9454 6422 5
5186 8937 2
2594 8237 10
9255 3291 7
3809 5686 9
3141 2655 1
3833 8779 10
9392 1178 6
7734 5063 4
6983 3929 3
3054 4029 3
6724 7463 8
775 2179 5
8445 4008 1
913 5186 5
8757 6646 3
4873 3947 5
7752 4793 2
5921 1465 10
5943 5341 5
7132 7517 3
4652 6353 6
7040 8296 4
4361 9800 10
6692 1068 8
1046 4828 10
2910 7127 2
2776 7760 5
7546 1657 5
5576 1549 3
6010 6477 7
8592 1170 2
7817 863 6
664 3936 4
8867 5269 9
6107 8530 9
8974 8562 4
8751 2562 2
2213 2478 10
5347 6074 4
9639 3496 10
1665 5344 3
3160 153 8
6813 1583 9
8321 2178 8
2827 4970 4
3008 4901 8
7537 8809 2
5486 7684 2
879 8850 10
9273 4844 6
5733 7679 7
8252 6667 9
1450 6030 5
2699 5753 2
252 6640 1
8981 6971 6
825 8723 8
9395 3521 7
4545 4460 3
2340 3977 2
9213 4198 8
7840 1516 3
3472 3211 5
1793 8190 4
1079 238 5
8421 3356 2
4244 8539 8
5257 1703 6
6844 1279 3
8000 5446 5
8305 4451 1
6889 640 2
9803 8915 3
7601 5888 1
609 7464 8
6921 251 5
7181 964 6
9484 9490 4
3521 5820 4
4750 973 2
1225 3103 6
1582 7544 2
1527 4431 6
4962 6256 7
3494 6769 6
8617 7575 6
9852 287 3
7950 6170 5
7840 3579 6
5960 224 4
3278 4300 6
9827 9199 6
5733 919 2
8098 4629 6
7678 9019 1
5328 1009 4
1692 3732 1
1272 2963 8
7223 7032 7
9746 6282 6
1428 5317 9
9930 8063 4
5070 8558 5
1887 2037 1
6025 9843 5
9327 2355 9
6446 4545 10
1150 7956 4
2209 3072 7
9966 4777 1
4730 2623 5
1026 8111 4
2661 3920 5
9627 6729 7
2884 1635 7
8215 1056 9
7348 7631 8
3050 3196 8
3899 2076 10
7101 5891 2
7358 2084 5
5488 4003 6
5680 2458 6
4217 4949 9
9590 8889 2
4243 5117 2
5246 4096 3
4061 8184 2
1249 8060 4
6957 4539 8
3405 6593 3
5780 8703 7
973 8515 10
5850 3256 4
9804 7919 2
2640 5470 6
4435 9394 10
5161 7603 3
4151 2717 8
9150 6075 10
1868 3782 10
6761 5658 10
9780 7854 5
3725 8100 4
7589 6217 4
1441 1699 3
6345 7921 10
9609 4120 7
7313 8125 7
7048 7469 10
5547 485 4
7206 3574 6
6185 7219 6
7688 8278 5
6694 9958 7
8924 7099 2
8885 1899 7
4429 4089 8
8042 7053 2
2157 1717 6
1411 4009 4
7891 8484 4
2853 6342 6
129 4592 3
1028 9822 9
7073 3898 9
4791 7128 3
6976 5620 10
6792 5031 6
5522 5858 7
6616 7742 2
9915 4701 1
3568 7586 4
8496 9040 7
7382 9532 9
9642 2305 6
5183 3534 9
6792 6324 4
9913 3175 5
239 1227 6
8863 4674 4
3282 205 6
5629 452 9
5128 2142 1
2715 8478 3
5802 2051 8
2318 1964 3
6301 5098 4
634 2099 6
530 298 6
880 9000 3
7288 288 4
947 3417 8
5908 7650 9
1659 537 3
7810 560 4
2952 8208 7
4519 2087 9
2054 5363 6
4953 7612 4
7893 9492 6
3059 8338 4
144 1907 8
1613 3727 2
120 4154 2
1469 3967 4
9966 7076 9
4422 338 6
9771 9416 3
1806 1191 7
8249 6954 5
1801 2176 9
6064 1034 1
7696 9090 1
1719 3088 6
7826 5052 6
525 6812 1
6702 8371 9
2497 148 2
1057 8687 8
313 1381 9
2514 7618 7
2793 2766 9
3405 3116 6
4811 9799 5
6601 7526 8
1680 9413 10
1375 332 4
7267 6834 6
534 6801 7
8405 4858 7
8854 3275 8
1113 541 3
9105 6102 3
5839 2058 6
5462 5912 1
5706 3472 1
917 5155 2
5926 7400 5
4528 7132 8
53 6590 7
81 7616 7
4741 979 2
2459 4962 4
1235 7995 5
479 1373 2
4776 2284 3
6490 3807 4
7920 2553 8
4375 4025 4
657 6872 1
8673 456 4
9298 4076 5
3840 9614 8
4786 8079 10
2984 6003 1
5569 4855 10
7069 8263 2
4848 9465 8
958 5030 5
547 2845 8
1010 4635 4
880 1918 1
4895 6694 6
8541 7903 5
5324 6212 2
3299 3003 4
8668 2760 3
9489 8564 1
3513 1245 6
4668 3258 9
2527 3753 8
5024 6675 8
6058 2126 5
4655 7504 7
4760 7840 3
740 4938 1
1234 3382 4
8435 8311 5
7544 4639 3
8691 2594 2
4589 2146 1
1282 6571 8
8564 3307 10
9325 9753 8
6689 6981 9
606 2958 2
6125 2568 10
8156 8425 8
5888 6971 2
9605 1650 8
3512 5026 3
3067 9926 3
7088 3373 4
8687 2303 10
8761 5110 8
1628 7321 1
988 7029 6
5581 4101 8
6031 9348 6
4854 6442 4
1070 1255 5
2790 4202 8
578 9156 7
7542 6710 2
4586 6507 5
3533 3601 3
1472 506 5
1791 1448 6
4504 391 3
2416 4775 1
498 9230 8
3523 8389 5
6828 4451 5
6387 1124 2
3623 3101 4
8203 9643 8
8632 1978 4
4351 1223 2
2649 6810 5
3437 2510 3
5296 7377 4
4256 2983 3
4132 6713 9
2351 4122 3
8679 4448 1
4123 4830 1
9936 4492 6
1786 8492 5
8284 6713 10
1385 5756 4
5437 5029 1
9586 1897 6
1900 9408 4
1216 3198 7
1494 4719 5
5992 1279 5
284 5442 3
3107 9748 7
9051 9556 1
3199 7374 8
5988 703 3
7850 1078 1
8809 3994 7
5076 3075 9
532 6829 8
7732 9251 8
2107 9938 6
9780 4195 1
3639 2021 2
7543 5859 5
5985 8454 9
1474 3330 6
5687 1206 10
3053 8129 5
1810 4168 1
5519 8625 5
33 7123 5
9501 7617 2
6384 9709 1
1627 2084 3
2106 9535 9
1201 1314 6
2969 407 2
6254 5108 1
5855 540 10
5138 9705 8
7612 2064 10
2628 3130 2
4823 5601 1
8086 2142 9
8023 8223 7
5078 4584 2
1523 7938 1
4544 401 4
6412 9337 6
4982 4814 4
1945 1398 10
7866 1814 9
8179 8615 4
9960 5877 10
6109 1879 4
154 3583 1
3124 6657 1
